"hhid","parcelID","t0_hhid","s2aq05_1","s2aq03_3","a2bq1owned","s2aq03_1","s2aq04","s2aq05","s2aq06","s2aq07","s2aq08","a2bq09","a2bq10","a2bq11","a2bq12a","a2bq12b","a2bq12a_1","a2bq12b_1","a2aq18","s2aq20","s2aq21","s2aq22a","s2aq22b"
"193cf962b1a344c185c6cefba882b7d4",2,"H1147",1,1,2,1,,0.5,1,4,2,,0,2,5,1,3,,2,2,,,
"19791a37650a40e3b6310d5ce84d57d2",2,"H0676",1,2,2,,,,,,,,1,1,,,,,,,,,
"19bff18dc94b4c83a0f5fb0746fce3e9",1,"H0622",1,1,2,3,,0.5,2,3,9,,10,2,1,1,,,3,2,,,
"19bff18dc94b4c83a0f5fb0746fce3e9",2,"H0622",1,1,2,3,,3,1,3,9,,10,2,1,1,,,2,2,,,
"1a4a64aab3314acc8fd17e8fe7edc072",2,"H2139",2,1,2,1,,1,3,4,9,,0,1,5,2,3,,2,2,,,
"1a4ac0322d4c4cad97376ec4268cf20d",1,"H2954",1,3,2,,,0.12,3,1,8,0,3,1,1,1,,,2,2,,,
"1af78993dda447e9b94e6fd57d9f9759",2,"H2150",1,1,2,3,,0.75,1,4,8,0,0,2,1,1,,,2,2,,,
"1b3281db1d2047f88013a14f5df40e67",2,"H1092",2,1,2,1,,0.5,2,4,8,400000,10,2,96,1,,,2,2,,,
"1b3281db1d2047f88013a14f5df40e67",3,"H1092",2,1,2,1,,1,2,4,8,200000,10,2,1,1,,,2,2,,,
"1b3281db1d2047f88013a14f5df40e67",6,"H1092",2,1,2,1,,0.75,1,4,8,80000,8,1,1,2,,,2,2,,,
"1b4d2861ba324ff69848b23c99fb8db4",2,"H2987",1,1,2,1,,1,3,1,8,100000,2,1,1,5,,3,2,2,,,
"1bbe3e1e27a84b0cbfb525ee53dc07e4",3,"H2836",2,1,2,3,,0.5,3,1,8,60000,2,1,1,1,,,2,2,,,
"1bdbf2c002c341fdb27ba09e8608f4e7",2,"H2232",1,1,2,3,1.16,1,1,2,9,,4,1,2,1,,,2,2,,,
"1bed181d3f7c4153bb232db5f5d5c324",3,"H2833",,1,2,1,,0.25,2,1,8,0,1,1,1,1,,,2,2,,,
"1c1f76468bfa437d9109f20381751066",2,"H2627",2,2,2,,,,,,,,2,1,,,,,,,,,
"1c3b57aa045e44bca50b6599b2524740",3,"H2654",2,1,2,1,,0.5,4,6,8,80000,2,1,1,1,,,2,2,,,
"1d1b0112e5fc4665b6259b6538dc0939",1,"H0158",2,1,2,3,,1,4,1,8,200000,2,1,1,1,,,2,2,,,
"1d1b0112e5fc4665b6259b6538dc0939",3,"H0158",1,1,2,3,,1,2,1,8,0,3,2,1,1,,,2,2,,,
"1d2ab5a3173643ebb4ed90978390cf51",4,"H2921",1,1,2,1,,1,2,1,8,100000,3,2,1,1,,,2,1,1,2,
"1d67353f483347f1ac53e80407cacb54",1,"H0169",1,1,2,1,,1,3,1,8,200000,5,1,1,1,,,2,2,,,
"1d67353f483347f1ac53e80407cacb54",2,"H0169",1,1,2,1,,1,2,4,2,,5,2,2,2,,,2,2,,,
"1d7ef5a2fe3f4af59e18768a7e63d24d",1,"H0310",2,1,2,3,,2,4,3,9,,7,1,1,1,,,2,2,,,
"1dac5db687b34fd0b60a6254b5f9f850",1,"H1555",3,1,2,1,,0.5,2,4,9,,5,1,5,2,3,,2,2,,,
"1db04686b9954f1286e0b6fabbb95076",2,"H0378",2,1,2,3,,0.75,2,1,2,,1989,1,1,1,,,2,2,,,
"1de671dc290c488296a0d7820017baea",2,"H3171",2,1,2,1,,2,2,2,8,250000,1,1,1,1,,,2,2,,,
"1e951f7b564247088afe5da99452ba04",2,"H2043",1,1,2,1,,1,6,4,8,80000,1,1,96,1,,,2,2,,,
"1eb0387601424300a1f0f9b1dc3b6c10",1,"S9997030",,,2,,,1,1,4,8,0,5,2,1,1,,,2,2,,,
"1eb0387601424300a1f0f9b1dc3b6c10",2,"S9997030",,,2,,,1,1,4,8,0,4,2,1,1,,,2,2,,,
"1eb0387601424300a1f0f9b1dc3b6c10",4,"S9997030",,,2,,,1,1,4,8,0,5,2,96,1,,,2,2,,,
"1f5b0d10f8e34735b03f51e5c0a08f64",2,"H0197",1,1,2,1,,0.5,2,4,8,0,10,2,1,1,,,2,2,,,
"1f8d122263974ea08d0fc7d8d83588fe",2,"H3023",1,1,2,1,,0.5,3,1,8,240000,2,1,1,96,,,2,2,,,
"1f9dbd1c79e94b1fb924ed9184539419",1,"H1165",1,1,2,3,,0.25,1,4,8,0,19,2,1,2,,,2,2,,,
"1f9dbd1c79e94b1fb924ed9184539419",2,"H1165",1,1,2,3,,0.75,1,1,8,0,19,2,1,1,,,2,2,,,
"1fb6e880414f4ad3a2eaf4215ff6c077",1,"H0964",1,1,2,1,,0.5,3,1,9,,6,1,1,1,,,2,2,,,
"1fb6e880414f4ad3a2eaf4215ff6c077",2,"H0964",1,1,2,1,0.6,0.6,1,1,2,,20,1,1,1,,,2,2,,,
"1fb6e880414f4ad3a2eaf4215ff6c077",4,"H0964",1,1,2,1,,0.25,1,1,8,20000,0,1,1,1,,,2,2,,,
"1fe4c1318fd54f66b040b4dfb416ef74",2,"H3142",2,1,2,1,,0.35,3,4,8,0,3,1,5,1,2,,2,2,,,
"2049a03fbeac4ed0882fe5026f52209d",2,"H2497",3,1,2,1,,0.25,1,1,8,0,3,1,1,1,,,2,2,,,
"209a04c63575451587160a703bf718c7",2,"H1795",4,1,2,1,,4,3,4,8,0,4,2,96,1,,,2,2,,,
"209a04c63575451587160a703bf718c7",3,"H1795",4,1,2,3,,1,3,4,8,0,2,1,96,1,,,2,2,,,
"20a7447637264ac081b179d69ff666da",1,"H3064",1,1,2,1,,0.5,1,1,8,30000,20,1,5,1,3,,2,2,,,
"20d4447171b24acf99c377292747e50d",2,"H3050",2,1,2,3,,0.75,2,1,9,,3,1,1,1,,,2,2,,,
